,mortality_rate,country,year
0,3.1270978,Canada,1950
1,2.9768493,Canada,1951
2,2.6710432,Canada,1952
3,2.2633789,Canada,1953
4,2.1479845,Canada,1954
5,2.277518,Canada,1955
6,1.8273493,Canada,1956
7,1.6500977,Canada,1957
8,1.6531376,Canada,1958
9,1.6465609,Canada,1959
10,1.3242564,Canada,1960
11,1.334824,Canada,1961
12,1.160893,Canada,1962
13,0.9998901,Canada,1963
14,0.8258563,Canada,1964
15,0.7956449,Canada,1965
16,0.7761397,Canada,1966
17,0.49218398,Canada,1967
18,0.54683536,Canada,1968
19,0.4159938,Canada,1969
20,0.38472036,Canada,1970
21,0.3314358,Canada,1971
22,0.26618683,Canada,1972
23,0.17348903,Canada,1973
24,0.15513785,Canada,1974
25,0.11472404,Canada,1975
26,0.10419017,Canada,1976
27,0.07197589,Canada,1977
28,0.09892267,Canada,1978
29,0.10419352,Canada,1979
30,0.10757865,Canada,1980
31,0.0856433,Canada,1981
32,0.02652076,Canada,1982
33,0.0722409,Canada,1983
34,0.04259698,Canada,1984
35,0.05473054,Canada,1985
36,0.04090282,Canada,1986
37,0.05333193,Canada,1987
38,0.06228913,Canada,1988
39,0.05591185,Canada,1989
40,0.03426686,Canada,1990
41,0.03968793,Canada,1991
42,0.06071399,Canada,1992
43,0.04560874,Canada,1993
44,0.04473484,Canada,1994
45,0.05376511,Canada,1995
46,0.05307254,Canada,1996
47,0.05903789,Canada,1997
48,0.04282709,Canada,1998
49,0.02428866,Canada,1999
50,0.03871203,Canada,2000
51,0.08396319,Canada,2001
52,0.04971619,Canada,2002
53,0.07816687,Canada,2003
54,0.06850224,Canada,2004
55,0.10090873,Canada,2005
56,0.09224704,Canada,2006
57,0.08066326,Canada,2007
58,0.11008759,Canada,2008
59,0.09333543,Canada,2009
60,0.07614797,Canada,2010
61,0.05653267,Canada,2011
62,0.07079376,Canada,2012
63,0.07118717,Canada,2013
64,0.07071188,Canada,2014
65,0.08266584,Canada,2015
66,0.06984918,Canada,2016
67,0.07285698,Canada,2017
68,0.10003728,Canada,2018
69,0.09242135,Canada,2019
70,0.09930047,Canada,2020
71,0.08363054,Canada,2021
72,0.08034168,Canada,2022
73,1.9583457,France,1950
74,1.9524325,France,1951
75,1.6494082,France,1952
76,1.5253496,France,1953
77,1.4623668,France,1954
78,1.2718716,France,1955
79,1.144583,France,1956
80,1.194941,France,1957
81,1.1262391,France,1958
82,1.147376,France,1959
83,1.0606436,France,1960
84,0.9405811,France,1961
85,0.8553554,France,1962
86,0.7881358,France,1963
87,0.66256636,France,1964
88,0.6594421,France,1965
89,0.6293891,France,1966
90,0.6270256,France,1967
91,0.5512793,France,1968
92,0.4781498,France,1969
93,0.54381245,France,1970
94,0.43261668,France,1971
95,0.48367164,France,1972
96,0.43578896,France,1973
97,0.36927924,France,1974
98,0.31289935,France,1975
99,0.25481173,France,1976
100,0.2351892,France,1977
101,0.22542043,France,1978
102,0.17981374,France,1979
103,0.20104691,France,1980
104,0.23767641,France,1981
105,0.20947918,France,1982
106,0.21285295,France,1983
107,0.19837971,France,1984
108,0.16932015,France,1985
109,0.1553049,France,1986
110,0.1342308,France,1987
111,0.13062087,France,1988
112,0.11725265,France,1989
113,0.13993163,France,1990
114,0.15972911,France,1991
115,0.16978028,France,1992
116,0.11551612,France,1993
